timestamp,session,cluster
2026-09-23T17:34:50.633512Z,55386906daf8,0
2026-09-23T17:34:50.634302Z,55386906daf8,0
2026-09-23T17:34:50.635978Z,55386906daf8,0
2026-09-23T17:35:37.889895Z,55386906daf8,0
2026-09-23T17:35:37.896271Z,55386906daf8,0
2026-09-23T17:35:37.896687Z,55386906daf8,0
2026-09-23T17:35:37.898462Z,55386906daf8,1
2026-09-23T17:36:26.592027Z,55386906daf8,1
2026-09-23T17:36:33.737394Z,55386906daf8,1
2026-09-23T17:36:42.669103Z,55386906daf8,1
2026-09-23T17:36:42.672594Z,55386906daf8,0
2026-09-23T17:36:48.360780Z,55386906daf8,1
2026-09-23T17:36:48.370213Z,55386906daf8,2
2026-09-23T17:36:48.372911Z,55386906daf8,0
